Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Google Chrome,1358621197.96,1358621203.67
,,Mathematica,1358621204.19,1358621412.57
,,Google Chrome,1358621413.09,1358621470.26
,,Mathematica,1358621470.78,1358621600.52
,,Google Chrome,1358621601.04,1358621683.20
,,Mathematica,1358621683.72,1358621696.74
,,Mathematica,1358621700.89,1358621798.91
,,Mathematica,1358621803.59,1358621867.35
,,Mathematica,1358621871.51,1358621913.50
,,Google Chrome,1358621914.02,1358621916.63
,,Mathematica,1358621917.16,1358621920.28
,,Google Chrome,1358621920.79,1358621921.32
,,Mathematica,1358621921.84,1358621928.58
,,Google Chrome,1358621929.10,1358621930.14
,,Mathematica,1358621930.67,1358621934.30
,,Google Chrome,1358621934.81,1358621935.85
,,Mathematica,1358621936.38,1358621940.53
,,Google Chrome,1358621941.05,1358621941.57
,,Mathematica,1358621942.09,1358621980.94
,,Google Chrome,1358621981.46,1358622016.84
,,Mathematica,1358622017.36,1358622126.39
,,Google Chrome,1358622126.91,1358622160.82
,,Mathematica,1358622161.34,1358622167.57
,,Google Chrome,1358622168.09,1358622171.75
,,Mathematica,1358622172.28,1358622177.99
,,Google Chrome,1358622178.51,1358622180.59
,,Mathematica,1358622181.11,1358622276.00
,,Google Chrome,1358622276.52,1358622290.54
,,Mathematica,1358622291.07,1358622293.15
,,Google Chrome,1358622293.68,1358622294.20
,,Mathematica,1358622294.72,1358622343.49
,,Google Chrome,1358622344.01,1358622369.50
,,Mathematica,1358622370.02,1358622370.55
,,Google Chrome,1358622371.08,1358622376.28
,,Mathematica,1358622376.80,1358622597.89
,,Google Chrome,1358622598.40,1358622602.04
,,Mathematica,1358622602.56,1358622603.08
,,Google Chrome,1358622603.61,1358622657.70
,,Mathematica,1358622658.22,1358622714.17
,,Google Chrome,1358622714.69,1358622730.27
,,Mathematica,1358622730.79,1358623026.38
,,Mathematica,1358623028.97,1358623062.69
,,Mathematica,1358623065.29,1358623097.46
,,Google Chrome,1358623097.99,1358623109.45
,,Mathematica,1358623109.97,1358623195.65
,,Google Chrome,1358623196.17,1358623226.41
,,Mathematica,1358623226.94,1358623642.75
,,Finder,1358623643.27,1358623643.79
,,Google Chrome,1358623644.31,1358623676.64
,,Finder,1358623677.16,1358623778.75
,,Preview,1358623779.27,1358623781.36
,,Finder,1358623781.89,1358623784.49
,,Preview,1358623785.01,1358623815.23
,,Finder,1358623815.75,1358623826.16
,,Google Chrome,1358623826.67,1358623828.75
,,Finder,1358623829.28,1358623830.91
,,Google Chrome,1358623831.43,1358623838.22
,,Google Chrome,1358623839.26,1358623841.86
,,Tweetbot,1358623842.38,1358623843.44
,,Google Chrome,1358623843.97,1358623899.20
,,Tweetbot,1358623899.72,1358623900.77
,,Finder,1358623901.29,1358623905.48
,,Google Chrome,1358623906.00,1358623909.64
,,Finder,1358623910.16,1358623917.44
,,Google Chrome,1358623917.96,1358623925.77
,,Finder,1358623926.29,1358623935.15
,,Preview,1358623941.40,1358623941.93
,,Preview,1358623942.96,1358623944.52
,,Google Chrome,1358623945.04,1358623945.57
,,Tweetbot,1358623946.09,1358623987.68
,,Finder,1358623988.21,1358623992.90
,,Preview,1358623993.42,1358624021.01
,,Finder,1358624021.53,1358624022.05
,,Preview,1358624022.57,1358624025.16
,,Finder,1358624025.69,1358624027.25
,,Preview,1358624027.77,1358624029.86
,,Finder,1358624030.38,1358624033.49
,,Preview,1358624034.01,1358624038.17
,,Finder,1358624038.68,1358624067.32
,,Preview,1358624067.84,1358624071.99
,,Finder,1358624072.51,1358624073.03
,,Google Chrome,1358624073.55,1358624075.64
,,Finder,1358624076.16,1358624079.81
,,Google Chrome,1358624080.35,1358624081.39
,,Finder,1358624081.91,1358624082.43
